Date,Payup (ticks),Date,%OAS
7/10/2012,0.5,7/10/2012,0.308267
7/11/2012,0.5,7/11/2012,0.311306
7/12/2012,0.4375,7/12/2012,0.270299
7/13/2012,0.4375,7/13/2012,0.277271
7/16/2012,0.4375,7/16/2012,0.267457
7/17/2012,0.4375,7/17/2012,0.274166
7/18/2012,0.4375,7/18/2012,0.264732
7/19/2012,0.6875,7/19/2012,0.421924
7/20/2012,0.6875,7/20/2012,0.405105
7/23/2012,0.75,7/23/2012,0.431236
7/24/2012,0.8125,7/24/2012,0.460832
7/25/2012,0.8125,7/25/2012,0.46338
7/26/2012,0.8125,7/26/2012,0.472979
7/27/2012,0.75,7/27/2012,0.476511
7/30/2012,0.75,7/30/2012,0.454294
7/31/2012,0.75,7/31/2012,0.447063
8/1/2012,0.75,8/1/2012,0.459932
8/2/2012,0.75,8/2/2012,0.450767
8/3/2012,0.75,8/3/2012,0.477534
8/6/2012,0.8125,8/6/2012,0.484593
8/7/2012,0.8125,8/7/2012,0.511192
8/8/2012,0.75,8/8/2012,0.467664
8/9/2012,0.75,8/9/2012,0.452307
8/10/2012,0.75,8/10/2012,0.442848
8/13/2012,0.75,8/13/2012,0.449284
8/14/2012,0.6875,8/14/2012,0.451403
8/15/2012,0.625,8/15/2012,0.471522
8/16/2012,0.625,8/16/2012,0.486403
8/17/2012,0.5625,8/17/2012,0.421938
8/20/2012,0.5625,8/20/2012,0.410695
8/21/2012,0.5625,8/21/2012,0.409159
8/22/2012,0.6875,8/22/2012,0.437391
8/23/2012,0.75,8/23/2012,0.437144
8/24/2012,0.75,8/24/2012,0.458243
8/27/2012,0.75,8/27/2012,0.438946
8/28/2012,0.75,8/28/2012,0.429645
8/29/2012,0.6875,8/29/2012,0.413486
8/30/2012,0.6875,8/30/2012,0.393959
8/31/2012,0.6875,8/31/2012,0.362032
9/4/2012,0.6875,9/4/2012,0.358504
9/5/2012,0.71875,9/5/2012,0.377198
9/6/2012,0.6875,9/6/2012,0.393133
9/7/2012,0.6875,9/7/2012,0.37102
9/10/2012,0.6875,9/10/2012,0.306473
9/11/2012,0.6875,9/11/2012,0.337242
9/12/2012,0.6875,9/12/2012,0.351324
9/13/2012,0.8125,9/13/2012,0.347539
9/14/2012,0.5625,9/14/2012,0.252076
9/17/2012,0.4375,9/17/2012,0.197037
9/18/2012,0.375,9/18/2012,0.166506
9/19/2012,0.375,9/19/2012,0.158442
9/20/2012,0.375,9/20/2012,0.150442
9/21/2012,0.375,9/21/2012,0.141013
9/24/2012,0.3125,9/24/2012,0.110876
9/25/2012,0.3125,9/25/2012,0.104773
9/26/2012,0.3125,9/26/2012,0.10065
9/27/2012,0.3125,9/27/2012,0.108912
9/28/2012,0.3125,9/28/2012,0.110611
10/1/2012,0.3125,10/1/2012,0.106528
10/2/2012,0.4375,10/2/2012,0.146498
10/3/2012,0.4375,10/3/2012,0.151967
10/4/2012,0.4375,10/4/2012,0.164573
10/5/2012,0.4375,10/5/2012,0.187675
10/9/2012,0.4375,10/9/2012,0.209392
10/10/2012,0.4375,10/10/2012,0.202456
10/11/2012,0.4375,10/11/2012,0.195982
10/12/2012,0.5,10/12/2012,0.225792
10/15/2012,0.5,10/15/2012,0.226109
10/16/2012,0.625,10/16/2012,0.301081
10/17/2012,0.625,10/17/2012,0.332002
10/18/2012,0.625,10/18/2012,0.346977
10/19/2012,0.625,10/19/2012,0.321175
10/22/2012,0.625,10/22/2012,0.330473
