Date,Payup (ticks),Date,%OAS
7/10/2012,1,7/10/2012,0.288866
7/11/2012,1,7/11/2012,0.290806
7/12/2012,1,7/12/2012,0.288549
7/13/2012,1,7/13/2012,0.298242
7/16/2012,1,7/16/2012,0.286324
7/17/2012,1.0625,7/17/2012,0.314153
7/18/2012,1.0625,7/18/2012,0.302819
7/19/2012,1.5,7/19/2012,0.4368
7/20/2012,1.5,7/20/2012,0.416061
7/23/2012,1.5,7/23/2012,0.403149
7/24/2012,1.53125,7/24/2012,0.4041
7/25/2012,1.53125,7/25/2012,0.406479
7/26/2012,1.53125,7/26/2012,0.416003
7/27/2012,1.4375,7/27/2012,0.43406
7/30/2012,1.4375,7/30/2012,0.410173
7/31/2012,1.5,7/31/2012,0.421458
8/1/2012,1.4375,8/1/2012,0.415935
8/2/2012,1.5,8/2/2012,0.424176
8/3/2012,1.5,8/3/2012,0.456193
8/6/2012,1.5,8/6/2012,0.43782
8/7/2012,1.4375,8/7/2012,0.447606
8/8/2012,1.4375,8/8/2012,0.443547
8/9/2012,1.4375,8/9/2012,0.435346
8/10/2012,1.4375,8/10/2012,0.425971
8/13/2012,1.4375,8/13/2012,0.432965
8/14/2012,1.3125,8/14/2012,0.428024
8/15/2012,1.1875,8/15/2012,0.436175
8/16/2012,1.125,8/16/2012,0.423982
8/17/2012,1.0625,8/17/2012,0.388655
8/20/2012,1.0625,8/20/2012,0.383022
8/21/2012,1.0625,8/21/2012,0.381481
8/22/2012,1.3125,8/22/2012,0.422426
8/23/2012,1.3125,8/23/2012,0.391189
8/24/2012,1.3125,8/24/2012,0.406984
8/27/2012,1.375,8/27/2012,0.41061
8/28/2012,1.375,8/28/2012,0.400572
8/29/2012,1.3125,8/29/2012,0.399497
8/30/2012,1.375,8/30/2012,0.399707
8/31/2012,1.375,8/31/2012,0.370598
9/4/2012,1.375,9/4/2012,0.380073
9/5/2012,1.375,9/5/2012,0.384282
9/6/2012,1.3125,9/6/2012,0.399971
9/7/2012,1.3125,9/7/2012,0.379386
9/10/2012,1.3125,9/10/2012,0.341327
9/11/2012,1.3125,9/11/2012,0.362818
9/12/2012,1.3125,9/12/2012,0.37782
9/13/2012,1.5,9/13/2012,0.364726
9/14/2012,1.3125,9/14/2012,0.336918
9/17/2012,1.125,9/17/2012,0.290668
9/18/2012,1.0625,9/18/2012,0.271449
9/19/2012,1.0625,9/19/2012,0.257356
9/20/2012,1.0625,9/20/2012,0.243812
9/21/2012,1,9/21/2012,0.214259
9/24/2012,1,9/24/2012,0.200434
9/25/2012,1,9/25/2012,0.187095
9/26/2012,1,9/26/2012,0.177868
9/27/2012,1,9/27/2012,0.195365
9/28/2012,1,9/28/2012,0.199815
10/1/2012,1,10/1/2012,0.197771
10/2/2012,1.3125,10/2/2012,0.253242
10/3/2012,1.4375,10/3/2012,0.288486
10/4/2012,1.4375,10/4/2012,0.317164
10/5/2012,1.4375,10/5/2012,0.352426
10/9/2012,1.4375,10/9/2012,0.378607
10/10/2012,1.4375,10/10/2012,0.364062
10/11/2012,1.4375,10/11/2012,0.35165
10/12/2012,1.4375,10/12/2012,0.355521
10/15/2012,1.4375,10/15/2012,0.353641
10/16/2012,1.5625,10/16/2012,0.41228
10/17/2012,1.5625,10/17/2012,0.456239
10/18/2012,1.5625,10/18/2012,0.477475
10/19/2012,1.5625,10/19/2012,0.4436
10/22/2012,1.5625,10/22/2012,0.457723
10/23/2012,1.625,10/23/2012,0.466073
10/24/2012,1.625,10/24/2012,0.481313
10/25/2012,1.5625,10/25/2012,0.486806
10/26/2012,1.5625,10/26/2012,0.4436
10/29/2012,1.5625,10/29/2012,0.430791
10/30/2012,1.5625,10/30/2012,0.457226
10/31/2012,1.5625,10/31/2012,0.414064
11/1/2012,1.5625,11/1/2012,0.433707
11/2/2012,1.5625,11/2/2012,0.420735
11/5/2012,1.5625,11/5/2012,0.395143
11/6/2012,1.6875,11/6/2012,0.478512
11/7/2012,2,11/7/2012,0.487255
11/8/2012,2,11/8/2012,0.463557
11/9/2012,2,11/9/2012,0.500152
11/13/2012,2,11/13/2012,0.511668
