Date,Payup (ticks),Date,%OAS
10/26/2012,0.1875,10/26/2012,0.098184
10/29/2012,0.1875,10/29/2012,0.095581
10/30/2012,0.1875,10/30/2012,0.104128
10/31/2012,0.1875,10/31/2012,0.092316
11/1/2012,0.1875,11/1/2012,0.099812
11/2/2012,0.25,11/2/2012,0.130209
11/5/2012,0.25,11/5/2012,0.123339
11/6/2012,0.25,11/6/2012,0.135641
11/7/2012,0.375,11/7/2012,0.160867
11/8/2012,0.375,11/8/2012,0.154515
11/9/2012,0.375,11/9/2012,0.15738
11/13/2012,0.375,11/13/2012,0.159511
11/14/2012,0.375,11/14/2012,0.165531
11/15/2012,0.375,11/15/2012,0.160036
11/16/2012,0.375,11/16/2012,0.154162
11/19/2012,0.375,11/19/2012,0.160143
11/20/2012,0.375,11/20/2012,0.166196
11/21/2012,0.375,11/21/2012,0.173193
11/23/2012,0.5,11/23/2012,0.232347
11/26/2012,0.625,11/26/2012,0.276008
11/27/2012,0.625,11/27/2012,0.264396
11/28/2012,0.625,11/28/2012,0.261796
11/29/2012,0.625,11/29/2012,0.264945
11/30/2012,0.625,11/30/2012,0.260757
12/3/2012,0.625,12/3/2012,0.255501
12/4/2012,0.625,12/4/2012,0.250013
12/5/2012,0.625,12/5/2012,0.251249
12/6/2012,0.625,12/6/2012,0.257044
12/7/2012,0.75,12/7/2012,0.325091
12/10/2012,0.75,12/10/2012,0.318959
12/11/2012,0.75,12/11/2012,0.323203
12/12/2012,0.75,12/12/2012,0.339335
12/13/2012,0.75,12/13/2012,0.343618
12/14/2012,0.75,12/14/2012,0.356426
12/17/2012,0.75,12/17/2012,0.372502
12/18/2012,0.625,12/18/2012,0.32626
12/19/2012,0.625,12/19/2012,0.31859
12/20/2012,0.625,12/20/2012,0.322065
12/21/2012,0.625,12/21/2012,0.305739
12/24/2012,0.6875,12/24/2012,0.341926
12/26/2012,0.6875,12/26/2012,0.335913
12/27/2012,0.6875,12/27/2012,0.326418
12/28/2012,0.6875,12/28/2012,0.32718
12/31/2012,0.6875,12/31/2012,0.334377
1/2/2013,0.6875,1/2/2013,0.358595
1/3/2013,0.5625,1/3/2013,0.322867
1/4/2013,0.3125,1/4/2013,0.182216
1/7/2013,0.375,1/7/2013,0.212054
1/8/2013,0.375,1/8/2013,0.205256
1/9/2013,0.375,1/9/2013,0.201353
1/10/2013,0.3125,1/10/2013,0.189866
1/11/2013,0.3125,1/11/2013,0.185865
1/14/2013,0.3125,1/14/2013,0.184044
1/15/2013,0.3125,1/15/2013,0.184065
1/16/2013,0.3125,1/16/2013,0.183343
1/17/2013,0.3125,1/17/2013,0.19428
1/18/2013,0.3125,1/18/2013,0.191804
1/22/2013,0.3125,1/22/2013,0.191295
1/23/2013,0.3125,1/23/2013,0.18712
1/24/2013,0.3125,1/24/2013,0.189902
1/25/2013,0.3125,1/25/2013,0.215459
1/28/2013,0.1875,1/28/2013,0.129277
1/29/2013,0.1875,1/29/2013,0.129934
1/30/2013,0.1875,1/30/2013,0.131832
1/31/2013,0.1875,1/31/2013,0.130731
2/1/2013,0.125,2/1/2013,0.084425
2/4/2013,0.125,2/4/2013,0.081657
2/5/2013,0.125,2/5/2013,0.08242
2/6/2013,0.0625,2/6/2013,0.03971
2/7/2013,0.0625,2/7/2013,0.039665
2/8/2013,0.0625,2/8/2013,0.041638
2/11/2013,0.0625,2/11/2013,0.04108
2/12/2013,0.0625,2/12/2013,0.042481
2/13/2013,0.0625,2/13/2013,0.043672
2/14/2013,0.0625,2/14/2013,0.042328
2/15/2013,0.0625,2/15/2013,0.04283
2/19/2013,0.0625,2/19/2013,0.043561
2/20/2013,0.0625,2/20/2013,0.043679
2/21/2013,0.0625,2/21/2013,0.042412
2/22/2013,0.0625,2/22/2013,0.042209
2/25/2013,0.125,2/25/2013,0.079086
2/26/2013,0.125,2/26/2013,0.077301
2/27/2013,0.125,2/27/2013,0.079777
2/28/2013,0.125,2/28/2013,0.077006
3/1/2013,0.125,3/1/2013,0.074032
3/4/2013,0.125,3/4/2013,0.075299
3/5/2013,0.125,3/5/2013,0.075855
3/6/2013,0.125,3/6/2013,0.079276
3/7/2013,0.125,3/7/2013,0.084782
3/8/2013,0.125,3/8/2013,0.090875
3/11/2013,0.125,3/11/2013,0.090456
3/12/2013,0.125,3/12/2013,0.088983
3/13/2013,0.125,3/13/2013,0.087674
3/14/2013,0.0625,3/14/2013,0.043791
3/15/2013,0.0625,3/15/2013,0.042346
3/18/2013,0.0625,3/18/2013,0.040137
3/19/2013,0.0625,3/19/2013,0.039228
3/20/2013,0.0625,3/20/2013,0.040585
3/21/2013,0.0625,3/21/2013,0.040902
3/22/2013,0.0625,3/22/2013,0.040469
3/25/2013,0.0625,3/25/2013,0.040643
3/26/2013,0.0625,3/26/2013,0.041341
3/27/2013,0.0625,3/27/2013,0.039915
3/28/2013,0.0625,3/28/2013,0.04021
4/1/2013,0.0625,4/1/2013,0.039726
4/2/2013,0.0625,4/2/2013,0.040252
4/3/2013,0.125,4/3/2013,0.0785
4/4/2013,0.125,4/4/2013,0.07283
4/5/2013,0.21875,4/5/2013,0.131677
4/8/2013,0.21875,4/8/2013,0.138678
4/9/2013,0.1875,4/9/2013,0.120351
4/10/2013,0.1875,4/10/2013,0.1249
4/11/2013,0.1875,4/11/2013,0.123504
