Date,Payup (ticks),Date,%OAS
7/10/2012,2.4375,7/10/2012,0.360368
7/11/2012,2.4375,7/11/2012,0.358264
7/12/2012,2.4375,7/12/2012,0.357687
7/13/2012,2.4375,7/13/2012,0.367279
7/16/2012,2.4375,7/16/2012,0.356741
7/17/2012,2.75,7/17/2012,0.411893
7/18/2012,2.75,7/18/2012,0.395531
7/19/2012,2.75,7/19/2012,0.399338
7/20/2012,2.75,7/20/2012,0.384132
7/23/2012,2.75,7/23/2012,0.377959
7/24/2012,2.75,7/24/2012,0.373385
7/25/2012,2.75,7/25/2012,0.373418
7/26/2012,2.75,7/26/2012,0.377579
7/27/2012,2.75,7/27/2012,0.411688
7/30/2012,2.75,7/30/2012,0.392744
7/31/2012,2.75,7/31/2012,0.387854
8/1/2012,2.75,8/1/2012,0.408147
8/2/2012,2.75,8/2/2012,0.398632
8/3/2012,2.75,8/3/2012,0.421759
8/6/2012,2.75,8/6/2012,0.418157
8/7/2012,2.6875,8/7/2012,0.429829
8/8/2012,2.5,8/8/2012,0.396768
8/9/2012,2.5,8/9/2012,0.427573
8/10/2012,2.5,8/10/2012,0.419964
8/13/2012,2.5,8/13/2012,0.429029
8/14/2012,2.375,8/14/2012,0.435469
8/15/2012,2.3125,8/15/2012,0.467623
8/16/2012,2.375,8/16/2012,0.491185
8/17/2012,2.375,8/17/2012,0.475419
8/20/2012,2.375,8/20/2012,0.468658
8/21/2012,2.375,8/21/2012,0.465082
8/22/2012,2.5,8/22/2012,0.444162
8/23/2012,2.5,8/23/2012,0.424872
8/24/2012,2.5,8/24/2012,0.435966
8/27/2012,2.6875,8/27/2012,0.458317
8/28/2012,2.6875,8/28/2012,0.450511
8/29/2012,2.6875,8/29/2012,0.462533
8/30/2012,2.6875,8/30/2012,0.448927
8/31/2012,2.6875,8/31/2012,0.427443
9/4/2012,2.75,9/4/2012,0.431671
9/5/2012,2.75,9/5/2012,0.4341
9/6/2012,2.75,9/6/2012,0.458446
9/7/2012,2.75,9/7/2012,0.44591
9/10/2012,2.75,9/10/2012,0.433717
9/11/2012,2.75,9/11/2012,0.461168
9/12/2012,2.75,9/12/2012,0.47701
9/13/2012,3.25,9/13/2012,0.504041
9/14/2012,3.25,9/14/2012,0.522908
9/17/2012,3.25,9/17/2012,0.524275
9/18/2012,3.25,9/18/2012,0.519423
9/19/2012,3.25,9/19/2012,0.50266
9/20/2012,3.25,9/20/2012,0.486768
9/21/2012,3.25,9/21/2012,0.464153
9/24/2012,3.25,9/24/2012,0.445821
9/25/2012,3.25,9/25/2012,0.426286
9/26/2012,3.25,9/26/2012,0.415808
