Date,Payup (ticks),Date,%OAS
7/10/2012,3.6875,7/10/2012,0.42832
7/11/2012,3.6875,7/11/2012,0.425695
7/12/2012,3.6875,7/12/2012,0.424383
7/13/2012,3.6875,7/13/2012,0.436782
7/16/2012,3.6875,7/16/2012,0.423403
7/17/2012,4.25,7/17/2012,0.501511
7/18/2012,4.25,7/18/2012,0.481423
7/19/2012,4.5,7/19/2012,0.516709
7/20/2012,4.5,7/20/2012,0.494901
7/23/2012,4.75,7/23/2012,0.512241
7/24/2012,4.75,7/24/2012,0.50483
7/25/2012,4.75,7/25/2012,0.504882
7/26/2012,4.75,7/26/2012,0.511365
7/27/2012,4.75,7/27/2012,0.563562
7/30/2012,4.75,7/30/2012,0.535097
7/31/2012,4.75,7/31/2012,0.52874
8/1/2012,4.75,8/1/2012,0.559508
8/2/2012,4.75,8/2/2012,0.544899
8/3/2012,4.75,8/3/2012,0.581524
8/6/2012,4.8125,8/6/2012,0.58331
8/7/2012,4.75,8/7/2012,0.609937
8/8/2012,4.5625,8/8/2012,0.58132
8/9/2012,4.5625,8/9/2012,0.617864
8/10/2012,4.5625,8/10/2012,0.605755
8/13/2012,4.5625,8/13/2012,0.619376
8/14/2012,4.4375,8/14/2012,0.645217
8/15/2012,4.3125,8/15/2012,0.695102
8/16/2012,4.3125,8/16/2012,0.711521
8/17/2012,4,8/17/2012,0.638629
8/20/2012,4,8/20/2012,0.63136
8/21/2012,4,8/21/2012,0.626382
8/22/2012,4.25,8/22/2012,0.603342
8/23/2012,4.25,8/23/2012,0.575715
8/24/2012,4.25,8/24/2012,0.590615
8/27/2012,4.25,8/27/2012,0.576895
8/28/2012,4.25,8/28/2012,0.565491
8/29/2012,4.25,8/29/2012,0.581674
8/30/2012,4.25,8/30/2012,0.563483
8/31/2012,4.25,8/31/2012,0.535896
9/4/2012,4.5,9/4/2012,0.561301
9/5/2012,4.5,9/5/2012,0.565446
9/6/2012,4.5,9/6/2012,0.601161
9/7/2012,4.5,9/7/2012,0.585054
9/10/2012,4.5,9/10/2012,0.573929
9/11/2012,4.5,9/11/2012,0.604908
9/12/2012,4.5,9/12/2012,0.627696
9/13/2012,5,9/13/2012,0.624322
9/14/2012,5,9/14/2012,0.651921
9/17/2012,5,9/17/2012,0.652809
9/18/2012,5,9/18/2012,0.646593
9/19/2012,5,9/19/2012,0.623797
9/20/2012,5,9/20/2012,0.602401
9/21/2012,5,9/21/2012,0.574521
9/24/2012,5,9/24/2012,0.549717
9/25/2012,5,9/25/2012,0.524003
9/26/2012,5,9/26/2012,0.508534
9/27/2012,5,9/27/2012,0.543798
9/28/2012,5,9/28/2012,0.557662
10/1/2012,5,10/1/2012,0.541415
10/2/2012,5,10/2/2012,0.537437
10/3/2012,5,10/3/2012,0.539513
10/4/2012,5,10/4/2012,0.571902
10/5/2012,5,10/5/2012,0.613444
10/9/2012,5,10/9/2012,0.651077
10/10/2012,5,10/10/2012,0.63105
10/11/2012,5,10/11/2012,0.619728
10/12/2012,5,10/12/2012,0.624489
10/15/2012,5,10/15/2012,0.626609
10/16/2012,5,10/16/2012,0.653902
10/17/2012,5,10/17/2012,0.699363
10/18/2012,5,10/18/2012,0.717482
10/19/2012,5,10/19/2012,0.67913
10/22/2012,5,10/22/2012,0.695596
10/23/2012,5,10/23/2012,0.686717
10/24/2012,5,10/24/2012,0.697072
10/25/2012,5,10/25/2012,0.728175
10/26/2012,5,10/26/2012,0.686246
10/29/2012,5,10/29/2012,0.672626
10/30/2012,5,10/30/2012,0.833472
10/31/2012,5,10/31/2012,0.653406
11/1/2012,5,11/1/2012,0.674175
11/2/2012,5,11/2/2012,0.66249
11/5/2012,5,11/5/2012,0.634682
11/6/2012,5,11/6/2012,0.680205
11/7/2012,5.125,11/7/2012,0.616148
11/8/2012,5.125,11/8/2012,0.594631
11/9/2012,5.125,11/9/2012,0.632632
11/13/2012,5.125,11/13/2012,0.649188
11/14/2012,5.125,11/14/2012,0.668442
11/15/2012,5.125,11/15/2012,0.650008
11/16/2012,5.125,11/16/2012,0.62735
11/19/2012,5.125,11/19/2012,0.639594
11/20/2012,5.125,11/20/2012,0.657681
11/21/2012,5.125,11/21/2012,0.676125
11/23/2012,5.125,11/23/2012,0.676814
11/26/2012,5.125,11/26/2012,0.651675
11/27/2012,5.125,11/27/2012,0.631771
11/28/2012,5.125,11/28/2012,0.625466
11/29/2012,5.125,11/29/2012,0.628027
11/30/2012,5.125,11/30/2012,0.620097
12/3/2012,5.125,12/3/2012,0.62903
12/4/2012,5.125,12/4/2012,0.614215
12/5/2012,5.125,12/5/2012,0.612152
12/6/2012,5.125,12/6/2012,0.622229
12/7/2012,5.125,12/7/2012,0.643994
12/10/2012,5.125,12/10/2012,0.656472
12/11/2012,5.125,12/11/2012,0.663708
12/12/2012,5.125,12/12/2012,0.685286
12/13/2012,5.125,12/13/2012,0.689634
12/14/2012,5.125,12/14/2012,0.686406
12/17/2012,5.125,12/17/2012,0.71136
12/18/2012,5.125,12/18/2012,0.743949
12/19/2012,5.125,12/19/2012,0.719791
12/20/2012,5.125,12/20/2012,0.71606
12/21/2012,5.125,12/21/2012,0.688929
12/24/2012,5.125,12/24/2012,0.697037
12/26/2012,5.125,12/26/2012,0.688376
12/27/2012,5.125,12/27/2012,0.66942
12/28/2012,5.125,12/28/2012,0.666395
12/31/2012,5.125,12/31/2012,0.672396
1/2/2013,5.125,1/2/2013,0.705165
1/3/2013,5.125,1/3/2013,0.74474
1/4/2013,5.125,1/4/2013,0.74746
1/7/2013,5.125,1/7/2013,0.732967
1/8/2013,5.125,1/8/2013,0.725612
1/9/2013,5.125,1/9/2013,0.716395
1/10/2013,5.125,1/10/2013,0.791197
1/11/2013,5.125,1/11/2013,0.777549
1/14/2013,5.125,1/14/2013,0.766874
1/15/2013,5.125,1/15/2013,0.757594
1/16/2013,5.125,1/16/2013,0.753749
1/17/2013,5.125,1/17/2013,0.793962
1/18/2013,5.125,1/18/2013,0.780796
1/22/2013,5.125,1/22/2013,0.781321
1/23/2013,5.125,1/23/2013,0.774395
1/24/2013,5.125,1/24/2013,0.792717
1/25/2013,5.125,1/25/2013,0.889032
1/28/2013,4.75,1/28/2013,0.837409
1/29/2013,4.75,1/29/2013,0.84549
1/30/2013,4.75,1/30/2013,0.864074
1/31/2013,4.75,1/31/2013,0.84998
2/1/2013,4.75,2/1/2013,0.853349
2/4/2013,4.75,2/4/2013,0.822448
2/5/2013,4.75,2/5/2013,0.842383
2/6/2013,4.75,2/6/2013,0.807074
2/7/2013,4.75,2/7/2013,0.795417
2/8/2013,4.75,2/8/2013,0.868906
2/11/2013,4.75,2/11/2013,0.859137
2/12/2013,4.5,2/12/2013,0.834736
2/13/2013,4.5,2/13/2013,0.846806
2/14/2013,4.5,2/14/2013,0.808862
2/15/2013,4.5,2/15/2013,0.806159
2/19/2013,4.5,2/19/2013,0.815032
2/20/2013,4.5,2/20/2013,0.817069
2/21/2013,4.5,2/21/2013,0.796909
2/22/2013,4.5,2/22/2013,0.792047
2/25/2013,4.5,2/25/2013,0.750537
2/26/2013,4.5,2/26/2013,0.731484
2/27/2013,4.5,2/27/2013,0.745667
2/28/2013,4.5,2/28/2013,0.721211
3/1/2013,4.5,3/1/2013,0.689676
3/4/2013,4.5,3/4/2013,0.702232
3/5/2013,4.5,3/5/2013,0.707314
3/6/2013,4.5,3/6/2013,0.733711
3/7/2013,4,3/7/2013,0.674677
3/8/2013,4,3/8/2013,0.763622
3/11/2013,4,3/11/2013,0.756162
3/12/2013,4,3/12/2013,0.732843
3/13/2013,4,3/13/2013,0.719532
3/14/2013,4,3/14/2013,0.715761
3/15/2013,4,3/15/2013,0.69717
3/18/2013,4,3/18/2013,0.673766
3/19/2013,4,3/19/2013,0.654992
3/20/2013,4,3/20/2013,0.678293
3/21/2013,4,3/21/2013,0.681419
3/22/2013,4,3/22/2013,0.666701
3/25/2013,4,3/25/2013,0.666315
3/26/2013,4,3/26/2013,0.673295
3/27/2013,4,3/27/2013,0.646701
3/28/2013,4,3/28/2013,0.651598
4/1/2013,4,4/1/2013,0.638323
4/2/2013,4,4/2/2013,0.647388
4/3/2013,4,4/3/2013,0.624849
4/4/2013,4,4/4/2013,0.590984
4/5/2013,4.25,4/5/2013,0.564235
4/8/2013,4.25,4/8/2013,0.593414
4/9/2013,4.25,4/9/2013,0.639894
4/10/2013,4.25,4/10/2013,0.671632
4/11/2013,4.25,4/11/2013,0.662111
4/12/2013,4.25,4/12/2013,0.625025
4/15/2013,4.25,4/15/2013,0.614412
4/16/2013,4.25,4/16/2013,0.620694
4/17/2013,4.25,4/17/2013,0.613369
4/18/2013,4.25,4/18/2013,0.59579
4/19/2013,4.25,4/19/2013,0.601738
4/22/2013,4.25,4/22/2013,0.600833
4/23/2013,4.25,4/23/2013,0.601882
4/24/2013,4.25,4/24/2013,0.603538
4/25/2013,4.25,4/25/2013,0.605946
4/26/2013,4.25,4/26/2013,0.583197
4/29/2013,4.25,4/29/2013,0.577638
4/30/2013,4.25,4/30/2013,0.57654
5/1/2013,4.375,5/1/2013,0.559403
5/2/2013,4.375,5/2/2013,0.566846
5/3/2013,4.375,5/3/2013,0.616065
5/6/2013,4.375,5/6/2013,0.633365
5/7/2013,4.75,5/7/2013,0.700429
5/8/2013,4.75,5/8/2013,0.687077
5/9/2013,4.75,5/9/2013,0.750223
5/10/2013,4.625,5/10/2013,0.795518
5/13/2013,4.625,5/13/2013,0.811431
5/14/2013,4.625,5/14/2013,0.83561
5/15/2013,4.625,5/15/2013,0.831617
5/16/2013,4.625,5/16/2013,0.75643
5/17/2013,4.625,5/17/2013,0.842872
5/20/2013,4.625,5/20/2013,0.864196
5/21/2013,4.625,5/21/2013,0.818643
5/22/2013,4.625,5/22/2013,0.894899
5/23/2013,4.625,5/23/2013,0.897069
5/24/2013,4.3125,5/24/2013,0.831005
5/27/2013,4.3125,5/28/2013,0.930695
