Date,Payup (ticks),Date,%OAS
7/10/2012,1.75,7/10/2012,0.349377
7/11/2012,1.75,7/11/2012,0.350169
7/12/2012,1.875,7/12/2012,0.372344
7/13/2012,1.875,7/13/2012,0.38518
7/16/2012,1.875,7/16/2012,0.370024
7/17/2012,1.9375,7/17/2012,0.39351
7/18/2012,1.9375,7/18/2012,0.375935
7/19/2012,1.9375,7/19/2012,0.379007
7/20/2012,1.9375,7/20/2012,0.360598
7/23/2012,2.3125,7/23/2012,0.420215
7/24/2012,2.3125,7/24/2012,0.413637
7/25/2012,2.375,7/25/2012,0.426887
7/26/2012,2.375,7/26/2012,0.435194
7/27/2012,2.25,7/27/2012,0.459026
7/30/2012,2.25,7/30/2012,0.433024
7/31/2012,2.5,7/31/2012,0.474022
8/1/2012,2.5,8/1/2012,0.489394
8/2/2012,2.5,8/2/2012,0.476005
8/3/2012,2.5,8/3/2012,0.511949
8/6/2012,2.5,8/6/2012,0.517144
8/7/2012,2.5,8/7/2012,0.553145
8/8/2012,2.375,8/8/2012,0.522639
8/9/2012,2.3125,8/9/2012,0.549255
8/10/2012,2.3125,8/10/2012,0.538098
8/13/2012,2.1875,8/13/2012,0.519656
8/14/2012,2,8/14/2012,0.51295
8/15/2012,1.875,8/15/2012,0.538376
8/16/2012,2,8/16/2012,0.590252
8/17/2012,2,8/17/2012,0.570407
8/20/2012,2,8/20/2012,0.560573
8/21/2012,2,8/21/2012,0.557372
8/22/2012,2.25,8/22/2012,0.558996
8/23/2012,2.3125,8/23/2012,0.538784
8/24/2012,2.3125,8/24/2012,0.559536
8/27/2012,2.3125,8/27/2012,0.542011
8/28/2012,2.3125,8/28/2012,0.531012
8/29/2012,2.1875,8/29/2012,0.521417
8/30/2012,2.375,8/30/2012,0.544779
8/31/2012,2.375,8/31/2012,0.510109
9/4/2012,2.375,9/4/2012,0.514617
9/5/2012,2.375,9/5/2012,0.518525
9/6/2012,2.3125,9/6/2012,0.542793
9/7/2012,2.3125,9/7/2012,0.521704
9/10/2012,2.3125,9/10/2012,0.494934
9/11/2012,2.3125,9/11/2012,0.527132
9/12/2012,2.3125,9/12/2012,0.549471
9/13/2012,2.75,9/13/2012,0.564139
9/14/2012,2.75,9/14/2012,0.593048
9/17/2012,2.625,9/17/2012,0.570239
9/18/2012,2.5,9/18/2012,0.536396
9/19/2012,2.5,9/19/2012,0.512421
9/20/2012,2.5,9/20/2012,0.489865
9/21/2012,2.5,9/21/2012,0.459148
9/24/2012,2.1875,9/24/2012,0.381677
9/25/2012,2.25,9/25/2012,0.37074
9/26/2012,2.25,9/26/2012,0.355371
9/27/2012,2.25,9/27/2012,0.383694
9/28/2012,2.25,9/28/2012,0.389794
10/1/2012,2.375,10/1/2012,0.394173
10/2/2012,2.5,10/2/2012,0.409103
10/3/2012,2.625,10/3/2012,0.444027
10/4/2012,2.625,10/4/2012,0.477889
10/5/2012,2.625,10/5/2012,0.541774
10/9/2012,2.625,10/9/2012,0.583303
10/10/2012,2.625,10/10/2012,0.564985
10/11/2012,2.625,10/11/2012,0.549657
10/12/2012,2.625,10/12/2012,0.552824
10/15/2012,2.625,10/15/2012,0.552005
10/16/2012,2.625,10/16/2012,0.583567
10/17/2012,2.625,10/17/2012,0.637007
10/18/2012,2.625,10/18/2012,0.660435
10/19/2012,2.625,10/19/2012,0.621403
10/22/2012,2.625,10/22/2012,0.637327
10/23/2012,2.625,10/23/2012,0.625762
10/24/2012,2.625,10/24/2012,0.63676
10/25/2012,2.5,10/25/2012,0.63528
10/26/2012,2.5,10/26/2012,0.591386
10/29/2012,2.5,10/29/2012,0.578548
10/30/2012,2.5,10/30/2012,0.70423
10/31/2012,2.5,10/31/2012,0.559987
11/1/2012,2.5,11/1/2012,0.569105
11/2/2012,2.5,11/2/2012,0.555251
11/5/2012,2.5,11/5/2012,0.527764
11/6/2012,2.625,11/6/2012,0.60771
11/7/2012,2.6875,11/7/2012,0.543559
