Date,Payup (ticks),Date,%OAS
7/10/2012,1.375,7/10/2012,0.375017
7/11/2012,1.375,7/11/2012,0.376113
7/12/2012,1.5,7/12/2012,0.407173
7/13/2012,1.5,7/13/2012,0.421032
7/16/2012,1.5625,7/16/2012,0.421274
7/17/2012,1.5625,7/17/2012,0.432759
7/18/2012,1.5625,7/18/2012,0.413058
7/19/2012,1.5625,7/19/2012,0.415227
7/20/2012,1.5625,7/20/2012,0.395552
7/23/2012,1.8125,7/23/2012,0.448754
7/24/2012,1.8125,7/24/2012,0.442257
7/25/2012,1.8125,7/25/2012,0.444543
7/26/2012,1.8125,7/26/2012,0.452827
7/27/2012,1.75,7/27/2012,0.484755
7/30/2012,1.75,7/30/2012,0.457934
7/31/2012,1.9375,7/31/2012,0.499378
8/1/2012,1.9375,8/1/2012,0.523503
8/2/2012,1.9375,8/2/2012,0.509748
8/3/2012,1.9375,8/3/2012,0.546881
8/6/2012,1.9375,8/6/2012,0.557041
8/7/2012,1.9375,8/7/2012,0.594474
8/8/2012,1.875,8/8/2012,0.572446
8/9/2012,1.8125,8/9/2012,0.612195
8/10/2012,1.8125,8/10/2012,0.6
8/13/2012,1.75,8/13/2012,0.591659
8/14/2012,1.625,8/14/2012,0.594468
8/15/2012,1.5625,8/15/2012,0.641432
8/16/2012,1.5625,8/16/2012,0.65996
8/17/2012,1.625,8/17/2012,0.662693
8/20/2012,1.625,8/20/2012,0.649398
8/21/2012,1.625,8/21/2012,0.64571
8/22/2012,1.75,8/22/2012,0.616975
8/23/2012,1.8125,8/23/2012,0.59821
8/24/2012,1.8125,8/24/2012,0.622749
8/27/2012,1.8125,8/27/2012,0.602865
8/28/2012,1.8125,8/28/2012,0.591256
8/29/2012,1.75,8/29/2012,0.593313
8/30/2012,1.875,8/30/2012,0.611101
8/31/2012,1.875,8/31/2012,0.570893
9/4/2012,1.875,9/4/2012,0.572859
9/5/2012,1.875,9/5/2012,0.576634
9/6/2012,1.8125,9/6/2012,0.598716
9/7/2012,1.8125,9/7/2012,0.573911
9/10/2012,1.8125,9/10/2012,0.533249
9/11/2012,1.8125,9/11/2012,0.576801
9/12/2012,1.8125,9/12/2012,0.601054
9/13/2012,2.125,9/13/2012,0.602002
9/14/2012,2.125,9/14/2012,0.631746
9/17/2012,2,9/17/2012,0.599544
9/18/2012,2,9/18/2012,0.591917
9/19/2012,2,9/19/2012,0.565143
9/20/2012,2,9/20/2012,0.539903
9/21/2012,2,9/21/2012,0.504076
9/24/2012,1.9375,9/24/2012,0.463855
9/25/2012,1.9375,9/25/2012,0.437368
9/26/2012,1.9375,9/26/2012,0.419722
9/27/2012,1.9375,9/27/2012,0.453798
9/28/2012,1.9375,9/28/2012,0.460543
10/1/2012,1.9375,10/1/2012,0.43534
10/2/2012,2,10/2/2012,0.442958
10/3/2012,2.0625,10/3/2012,0.473029
10/4/2012,2.0625,10/4/2012,0.508978
10/5/2012,2.0625,10/5/2012,0.58917
10/9/2012,2.0625,10/9/2012,0.648634
10/10/2012,2.0625,10/10/2012,0.628674
10/11/2012,2.0625,10/11/2012,0.611403
10/12/2012,2.0625,10/12/2012,0.615036
10/15/2012,2.0625,10/15/2012,0.613926
10/16/2012,2.0625,10/16/2012,0.649619
10/17/2012,2.0625,10/17/2012,0.710785
10/18/2012,2.0625,10/18/2012,0.738405
10/19/2012,2.0625,10/19/2012,0.694851
10/22/2012,2.0625,10/22/2012,0.712237
10/23/2012,2.0625,10/23/2012,0.699502
10/24/2012,2.0625,10/24/2012,0.711733
