Date,Payup (ticks),Date,%OAS
7/10/2012,2.625,7/10/2012,0.395945
7/11/2012,2.625,7/11/2012,0.396481
7/12/2012,2.75,7/12/2012,0.411903
7/13/2012,2.75,7/13/2012,0.427626
7/16/2012,3,7/16/2012,0.446861
7/17/2012,3,7/17/2012,0.462259
7/18/2012,3,7/18/2012,0.441491
7/19/2012,3.25,7/19/2012,0.485082
7/20/2012,3.25,7/20/2012,0.459147
7/23/2012,3.5,7/23/2012,0.480466
7/24/2012,3.5625,7/24/2012,0.479888
7/25/2012,3.5625,7/25/2012,0.482279
7/26/2012,3.5625,7/26/2012,0.492769
7/27/2012,3.4375,7/27/2012,0.535826
7/30/2012,3.4375,7/30/2012,0.502662
7/31/2012,3.5625,7/31/2012,0.513627
8/1/2012,3.5625,8/1/2012,0.532157
8/2/2012,3.5625,8/2/2012,0.516567
8/3/2012,3.5625,8/3/2012,0.560395
8/6/2012,3.75,8/6/2012,0.592597
8/7/2012,3.6875,8/7/2012,0.627428
8/8/2012,3.5625,8/8/2012,0.602782
8/9/2012,3.5,8/9/2012,0.629752
8/10/2012,3.5,8/10/2012,0.615925
8/13/2012,3.4375,8/13/2012,0.61831
8/14/2012,3.25,8/14/2012,0.631068
8/15/2012,3.125,8/15/2012,0.68027
8/16/2012,3,8/16/2012,0.67103
8/17/2012,3,8/17/2012,0.649557
8/20/2012,3,8/20/2012,0.641451
8/21/2012,3,8/21/2012,0.637677
8/22/2012,3.375,8/22/2012,0.642287
8/23/2012,3.4375,8/23/2012,0.613127
8/24/2012,3.4375,8/24/2012,0.635785
8/27/2012,3.4375,8/27/2012,0.615952
8/28/2012,3.4375,8/28/2012,0.601538
8/29/2012,3.375,8/29/2012,0.613706
8/30/2012,3.4375,8/30/2012,0.600331
8/31/2012,3.4375,8/31/2012,0.5623
9/4/2012,3.75,9/4/2012,0.622938
9/5/2012,3.75,9/5/2012,0.628904
9/6/2012,3.6875,9/6/2012,0.66831
9/7/2012,3.6875,9/7/2012,0.642828
9/10/2012,3.6875,9/10/2012,0.618703
9/11/2012,3.6875,9/11/2012,0.65317
9/12/2012,3.6875,9/12/2012,0.68173
9/13/2012,4.25,9/13/2012,0.680237
9/14/2012,4,9/14/2012,0.676772
9/17/2012,4,9/17/2012,0.681228
9/18/2012,3.9375,9/18/2012,0.662972
9/19/2012,3.9375,9/19/2012,0.631763
9/20/2012,3.9375,9/20/2012,0.60267
9/21/2012,3.75,9/21/2012,0.537906
9/24/2012,3.625,9/24/2012,0.49163
9/25/2012,3.75,9/25/2012,0.477946
9/26/2012,3.75,9/26/2012,0.455686
9/27/2012,3.75,9/27/2012,0.495252
9/28/2012,3.75,9/28/2012,0.505101
10/1/2012,3.875,10/1/2012,0.506341
10/2/2012,4,10/2/2012,0.514027
10/3/2012,4.25,10/3/2012,0.564862
10/4/2012,4.25,10/4/2012,0.612286
10/5/2012,4.25,10/5/2012,0.687141
10/9/2012,4.25,10/9/2012,0.730698
10/10/2012,4.625,10/10/2012,0.767513
10/11/2012,4.625,10/11/2012,0.745102
10/12/2012,4.625,10/12/2012,0.75009
10/15/2012,4.625,10/15/2012,0.747157
10/16/2012,4.75,10/16/2012,0.814919
10/17/2012,4.75,10/17/2012,0.892512
10/18/2012,4.75,10/18/2012,0.926848
10/19/2012,4.75,10/19/2012,0.870538
10/22/2012,4.75,10/22/2012,0.895002
10/23/2012,4.5,10/23/2012,0.831907
10/24/2012,4.5,10/24/2012,0.848718
10/25/2012,4.375,10/25/2012,0.867711
10/26/2012,4.375,10/26/2012,0.804402
10/29/2012,4.375,10/29/2012,0.785019
10/30/2012,4.375,10/30/2012,0.900695
10/31/2012,4.375,10/31/2012,0.757967
11/1/2012,4.375,11/1/2012,0.779218
