Date,3LLB,3MLB,3HLB,3HLB2,3.5LLB,3.5MLB,3.5HLB,3.5HLB2,4LLB,4MLB,4HLB,4HLB2,4.5LLB,4.5MLB,4.5HLB,4.5HLB2
1/2/2014,48.693562,46.602154,38.823685,33.889969,35.62991,33.765034,28.281925,24.249809,30.872982,30.308401,25.430588,19.147623,31.29427,31.204321,28.848272,22.920782
1/3/2014,48.374809,46.290066,38.524948,33.61578,35.567371,33.720482,28.260567,24.273726,30.874178,30.357815,25.538492,19.346968,30.309731,30.283167,28.026184,22.192627
1/6/2014,48.256008,46.202175,38.546551,33.684727,35.32618,33.50935,28.159311,24.175728,31.293762,30.775669,26.006443,19.765837,32.225918,32.157627,28.964254,23.009502
1/7/2014,47.116505,45.10149,37.571945,32.786324,34.103863,32.339367,27.129377,23.187067,29.89242,29.407398,24.746082,18.508101,30.287424,30.208757,27.966497,21.919485
1/8/2014,48.013336,45.979504,38.37281,33.561661,34.360218,32.585701,27.331911,23.43825,28.885427,28.441378,23.849312,17.746157,29.16054,29.184971,27.082766,21.275946
1/9/2014,47.777546,45.746574,38.174984,33.366417,34.780659,33.005997,27.772747,23.869137,29.609028,29.134281,24.512415,18.318129,29.779097,29.774197,27.604918,21.674084
1/10/2014,43.966511,42.052059,34.89016,30.255901,32.477779,30.79962,25.904016,21.999805,28.779667,28.274761,23.75602,17.388784,31.517925,31.364248,28.164316,21.794077
1/13/2014,41.706539,39.84634,32.878445,28.309158,30.573326,28.931313,24.188465,20.253361,27.815287,27.257132,22.743742,16.238371,31.859388,31.590014,29.192776,22.594965
1/14/2014,44.522526,42.606712,35.434196,30.803192,32.575516,30.904533,26.013195,22.122478,28.565443,27.177643,22.692801,16.78586,30.97905,30.845758,28.584326,22.287878
1/15/2014,44.174896,42.24902,35.042885,30.399405,31.732012,30.057192,25.155767,21.284534,27.492401,26.127043,21.678698,15.827328,29.467413,29.375566,27.179623,20.962811
1/16/2014,42.531879,40.654388,33.622108,29.029146,30.499712,28.848457,24.080065,20.173717,26.931044,25.513836,21.079481,15.091391,29.936296,29.725801,27.431248,20.964201
1/17/2014,40.952625,39.10323,32.172623,27.610973,29.073156,27.437963,22.748837,18.827314,26.000612,24.556082,20.128122,14.066276,29.918541,29.651043,27.304285,20.723845
1/21/2014,41.027336,39.199772,32.350567,27.79661,29.555557,27.917049,23.266584,19.309664,26.802208,25.302582,20.85248,14.7019,31.028427,30.679762,28.276543,21.594275
1/22/2014,42.943623,41.076488,34.082355,29.484133,31.12982,29.467922,24.708546,20.797817,27.551416,26.108522,21.690517,15.707791,29.877455,29.65461,27.396149,20.981852
1/23/2014,43.780029,41.95433,35.122189,30.560015,32.713943,31.056898,26.393412,22.397547,30.544882,29.000492,24.490032,18.24913,31.959305,31.519115,29.050493,23.115675
1/24/2014,41.056942,39.283394,32.663338,28.141953,31.126724,29.474123,24.931179,20.860327,29.739077,28.090734,23.53252,17.047682,32.333324,31.697748,29.057522,22.771099
1/27/2014,44.338375,42.514942,35.698723,31.128345,33.023167,31.357765,26.70837,22.701622,30.34934,28.784721,24.291872,18.023096,31.67897,31.202908,28.734959,22.743164
1/28/2014,44.677654,42.833649,35.969223,31.349894,32.451065,30.753012,26.059179,21.980951,29.257158,27.622755,23.045248,16.639433,30.53784,29.953749,27.366508,21.186064
1/29/2014,43.201942,41.400127,34.734024,30.132427,31.891047,30.181602,25.582293,21.371887,29.540064,27.751795,23.039255,16.261574,30.930628,30.05279,28.093035,21.397263
1/30/2014,43.010403,41.193306,34.474831,29.846539,31.877932,30.150005,25.487026,21.264191,29.749006,27.950161,23.18227,16.398333,30.745741,29.872353,27.877897,21.213175
1/31/2014,40.708302,38.907818,32.28463,27.644081,30.483456,28.732464,24.086214,19.768257,27.990524,26.09367,22.114555,15.1271,31.323885,30.300152,28.13138,21.219442
2/3/2014,39.411068,38.099689,31.28937,26.09996,30.062813,28.220758,22.646526,17.84992,30.397182,28.234709,23.891287,16.602261,35.402973,33.113144,30.648705,24.621454
2/4/2014,38.821827,37.463009,30.410738,25.176645,29.03932,27.198538,21.506926,16.780777,28.288725,26.217762,21.93589,14.867599,32.255901,30.134651,27.814417,22.05514
2/5/2014,41.216976,39.796364,32.418972,27.152418,29.892385,28.074982,22.286219,17.676027,27.803934,25.876358,21.707163,14.940483,28.255856,26.344856,24.256502,19.733999
2/6/2014,41.617954,40.181671,32.703655,27.4499,29.40662,27.618896,21.835066,17.297018,26.129772,24.278385,20.205994,13.571739,25.906586,24.106304,22.139277,17.743641
2/7/2014,40.803799,39.389393,32.003735,26.809462,28.528025,26.771885,21.085215,16.556625,25.19215,23.347956,19.308769,12.609406,25.009256,23.170567,21.174795,16.611671
2/10/2014,42.708824,41.288635,33.880135,28.679962,29.29649,27.543142,21.885639,17.374395,24.718662,22.883966,18.91004,12.221746,24.564772,22.727207,20.780323,16.2173
2/11/2014,42.697292,41.224792,33.607613,28.341997,30.154726,28.373436,22.547449,18.057348,25.629156,23.842096,19.853233,13.320964,25.508255,23.854187,21.996279,17.682899
2/12/2014,45.532261,44.012035,36.158997,30.844381,32.209991,30.424482,24.488317,20.064268,26.711927,25.00614,21.061623,14.747292,25.91394,24.42074,22.711277,18.714993
